university_name,top_bucket,is_c9,is_985,is_211,recommended_csc_priority,selection_note
Fudan University,C9,Yes,Yes,Yes,High,Elite comprehensive research university and strong for supervisor-led applications
Harbin Institute of Technology,C9,Yes,Yes,Yes,High,Strong engineering and science option with high research output
Nanjing University,C9,Yes,Yes,Yes,High,Top research university with strong science and humanities reputation
Peking University,C9,Yes,Yes,Yes,High,Top-tier option with intense competition and strong academic prestige
Shanghai Jiao Tong University,C9,Yes,Yes,Yes,High,Excellent for engineering interdisciplinary research and international visibility
Tsinghua University,C9,Yes,Yes,Yes,High,Top engineering and technology target with very high competition
University of Science and Technology of China,C9,Yes,Yes,Yes,High,Excellent for science-focused applications and lab quality
Xi'an Jiaotong University,C9,Yes,Yes,Yes,High,Strong research university with comparatively broader access than top Beijing and Shanghai options
Zhejiang University,C9,Yes,Yes,Yes,High,Excellent broad-spectrum research university with strong STEM profile
Beihang University,985_non_C9,No,Yes,Yes,High,Very strong for aerospace engineering computer and applied science
Beijing Institute of Technology,985_non_C9,No,Yes,Yes,High,Strong engineering and defense-related research profile
Beijing Normal University,985_non_C9,No,Yes,Yes,Medium,Excellent for education psychology humanities and related social sciences
Central South University,985_non_C9,No,Yes,Yes,High,Strong engineering materials transport and medical research
China Agricultural University,985_non_C9,No,Yes,Yes,Medium,Best fit for agriculture food bioscience and environmental topics
Chongqing University,985_non_C9,No,Yes,Yes,Medium,Good engineering option and often a practical application target
Dalian University of Technology,985_non_C9,No,Yes,Yes,Medium,Strong engineering and chemical related research
East China Normal University,985_non_C9,No,Yes,Yes,Medium,Leading education social science and selected science disciplines
Huazhong University of Science and Technology,985_non_C9,No,Yes,Yes,High,Very strong for engineering medicine and applied sciences
Hunan University,985_non_C9,No,Yes,Yes,Medium,Useful balanced target especially for engineering management and economics
Jilin University,985_non_C9,No,Yes,Yes,Medium,Large comprehensive university with broad supervisor availability
Lanzhou University,985_non_C9,No,Yes,Yes,Medium,Strong in earth science chemistry ecology and western China research areas
Minzu University of China,985_non_C9,No,Yes,Yes,Medium,More specialized fit for ethnology policy humanities and social studies
Nankai University,985_non_C9,No,Yes,Yes,High,Strong comprehensive university especially for chemistry economics and management
National University of Defense Technology,985_non_C9,No,Yes,Yes,Medium,Prestigious but international applicant fit varies by program so verify eligibility early
Northeastern University,985_non_C9,No,Yes,Yes,Medium,Strong industry and engineering orientation
Northwest A&F University,985_non_C9,No,Yes,Yes,Medium,Strong agriculture plant science and environmental research option
Northwestern Polytechnical University,985_non_C9,No,Yes,Yes,High,Excellent for aerospace materials mechanical and control fields
Ocean University of China,985_non_C9,No,Yes,Yes,Medium,Best fit for marine oceanography fisheries and environmental topics
Renmin University of China,985_non_C9,No,Yes,Yes,Medium,Excellent for economics public policy law and social sciences
Shandong University,985_non_C9,No,Yes,Yes,Medium,Large comprehensive university with broad graduate capacity
Sichuan University,985_non_C9,No,Yes,Yes,High,Strong medicine materials chemistry and comprehensive research profile
South China University of Technology,985_non_C9,No,Yes,Yes,High,Strong engineering and industry-connected programs
Southeast University,985_non_C9,No,Yes,Yes,High,Very strong for architecture electronics information and biomedical engineering
Sun Yat-sen University,985_non_C9,No,Yes,Yes,High,Top South China option with strong medicine life science and social science
Tianjin University,985_non_C9,No,Yes,Yes,High,Excellent engineering and chemical technology target
Tongji University,985_non_C9,No,Yes,Yes,High,Excellent for architecture civil engineering transportation and urban studies
University of Electronic Science and Technology of China,985_non_C9,No,Yes,Yes,High,Excellent for electronics communication computing and AI
Wuhan University,985_non_C9,No,Yes,Yes,High,Strong comprehensive university with strong GIS remote sensing law and sciences
Xiamen University,985_non_C9,No,Yes,Yes,High,Strong economics management chemistry and marine related fields
Anhui University,211_only,No,No,Yes,Medium,Good secondary option and often more realistic than top-tier targets
Beijing Foreign Studies University,211_only,No,No,Yes,Medium,Strong for linguistics translation international studies and area studies
Beijing Forestry University,211_only,No,No,Yes,Medium,Good for forestry ecology environmental planning and landscape
